店舗名,住所,電話番号,営業時間,サービス,詳細ページURL,コード
松屋 平和島店,東京都大田区大森北6-13-10 島田ビル,080-5928-0638,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000814&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000814
松屋 鷺宮店,東京都中野区鷺ノ宮3-18-3 リファレンス鷺宮駅前1F,080-5928-0513,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000414&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000414
松屋 方南町駅前店,東京都杉並区方南2-13-11 やま小屋方南ビル,080-5928-1045,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001871&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001871
松屋 大塚店,東京都豊島区北大塚2-11-1,080-5928-0648,24時間営業,"['24時間営業', '松弁デリバリー', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000024&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000024
松屋 東長崎駅前店,東京都豊島区南長崎5-25-12 第2大野ビル,070-4504-5765,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001954&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001954
松屋 西日暮里店,東京都荒川区西日暮里5-24-5,080-9021-6680,24時間営業,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001827&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001827
松屋 高島平駅前店,東京都板橋区高島平8-3-3 篠本第二ビル103,070-3821-0773,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001915&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001915
松屋 足立保塚店,東京都足立区保塚町12-21,080-5928-0694,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000595&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000595
松屋 新小岩北口店,東京都葛飾区西新小岩1-9-1,080-5928-0710,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000839&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000839
松屋 武蔵境南口店（松のや併設）,東京都武蔵野市境南町2-10-6,080-6183-3497,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002181&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002181
松屋 日野店,東京都日野市大坂上1-30-24,080-5928-0565,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000438&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000438
松屋 横浜店,神奈川県横浜市西区南幸2-1-3 相鉄ムービル,080-5928-0726,10時から22時、ラストオーダー30分前,"['松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000167&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000167
松屋 井土ヶ谷店,神奈川県横浜市南区井土ヶ谷中町161,080-9021-6724,24時間営業,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001853&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001853
松屋 港南台店,神奈川県横浜市港南区港南台4-1-1 テスコビル1F 108,080-5928-0996,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001867&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001867
松屋 鶴ヶ峰店,神奈川県横浜市旭区鶴ヶ峰1-12-3 大岡ビル103号,080-5928-1225,5時から翌3時、ラストオーダー15分前,"['テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000903&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000903
松屋 鷺沼店,神奈川県川崎市宮前区鷺沼1-11-6 鷺沼第一ビル,080-5928-0977,7時から翌2時、ラストオーダー30分前,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000967&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000967
松屋 相模原ラクーン店（松のや併設）,神奈川県相模原市中央区小山1-1-10,080-5805-6837,8時から23時30分、ラストオーダー30分前,"['駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002088&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002088
松屋 茅ヶ崎赤松町店（松のや併設）,神奈川県茅ヶ崎市赤松町1-5,080-9021-6725,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001857&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001857
松屋 新潟女池店,新潟県新潟市中央区女池5-7-10,080-5985-8202,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001726&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001726
松屋 小松日の出町店（松のや併設）,石川県小松市日の出町4-95-1,090-6260-0597,3時から翌2時、ラストオーダー30分前 ※一時閉店 5/2から5/6：22時から翌8時、5/11、5/12：0時から6時,"['駐車場あり', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002221&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002221
松屋 塩尻吉田店（松のや併設）,長野県塩尻市広丘吉田字道東1087-1,080-5985-8276,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002109&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002109
松屋 沼津南店,静岡県沼津市上香貫字三園町1372番地,080-5928-0771,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000615&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000615
松屋 焼津インター店（松のや併設）,静岡県焼津市八楠1-28-6,080-6424-9171,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002170&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002170
松屋 上前津店,愛知県名古屋市中区大須4-11-9,080-5928-1022,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000585&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000585
松屋 森孝店（松のや併設）,愛知県名古屋市守山区森孝4-507,080-5985-8172,24時間営業 ※一時閉店 5/2、5/3：2時から4時、5/4：2時から5時、5/5から5/7：2時から4時、5/9、5/10：2時から5時、5/12、5/13：1時から8時、5/14：2時から4時、5/15：1時から8時,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001712&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001712
松屋 刈谷日高店,愛知県刈谷市日高町4丁目611,080-5928-1018,24時間営業 ※一時閉店 5/1から5/6：22時から翌9時、5/8：1時から8時、22時から翌9時、5/9から5/11、5/14、5/15：22時から翌9時,"['24時間営業', '駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000519&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000519
松屋 江南店,愛知県江南市高屋町西町112,080-5985-8213,5時から翌3時,"['駐車場あり', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001733&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001733
松屋 百万遍店,京都府京都市左京区吉田泉殿町1-87番地,080-5928-1079,24時間営業,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000469&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000469
松屋 都島毛馬店,大阪府大阪市都島区毛馬町1-7-13,080-9898-9868,8時から23時、ラストオーダー15分前,"['駐車場あり', 'ドライブスルー', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001936&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001936
松屋 恵美須町店,大阪府大阪市浪速区恵美須西2-1-32,080-5928-1070,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000376&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000376
松屋 あびこ店（松のや併設）,大阪府大阪市住吉区苅田5-19-17 メトロアビコ1F,080-5928-1057,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000230&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000230
松屋 桜橋店,大阪府大阪市北区曽根崎新地2丁目2-13,080-5928-1128,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000495&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000495
松屋 千日前店,大阪府大阪市中央区難波3-3-4,080-5928-1046,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000101&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000101
松屋 豊中上津島店,大阪府豊中市上津島3-11-25,080-5928-1226,24時間営業 ※一時閉店 5/2、5/4：22時から翌8時,"['24時間営業', '駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000904&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000904
松屋 石橋駅前店,大阪府池田市石橋1-10-27,080-5928-1136,24時間営業,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000597&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000597
松屋 富田林店（松のや併設）,大阪府富田林市若松町2-3-18,090-6345-2057,24時間営業 ※一時閉店 5/1から5/6、5/8、5/15：0時から6時,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', '松弁デリバリー', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002167&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002167
松屋 住道店,大阪府大東市浜町9-10 住道駅前ビル,080-5952-8443,5時から翌2時 ※一時閉店 5/2、5/3：22時から翌6時、5/14：22時から翌8時,"['テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000955&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000955
松屋 藤井寺駅前店（松のや併設）,大阪府藤井寺市岡2-7-18,070-7414-1677,8時から翌2時30分 ※一時閉店 5/1から5/8、5/14から5/16：2時から8時,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002031&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002031
松屋 神戸玉津店（松のや併設）,兵庫県神戸市西区枝吉5丁目147番,080-5928-1142,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000682&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000682
松屋 姫路大手前通店,兵庫県姫路市駅前町338,080-5928-0614,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001947&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001947
松屋 阪神尼崎店,兵庫県尼崎市神田中通2-17,080-5928-1109,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000095&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000095
松屋 阪神西宮店,兵庫県西宮市田中町2-3,080-5928-1117,24時間営業 ※一時閉店 5/3：22時から翌5時、5/4、5/6、5/10、5/11、5/13、5/14：22時から翌8時,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000899&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000899
松屋 徳島南矢三店（松のや併設）,徳島県徳島市南矢三町三丁目4番47号,080-5928-0555,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001972&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001972
松屋 天神店,福岡県福岡市中央区天神3-3-1 木下ビル,080-5928-1133,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000553&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000553
松屋 周船寺店（松のや併設）,福岡県福岡市西区周船寺3-11-10,080-6856-3629,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001347&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001347
松屋 神松寺店,福岡県福岡市城南区神松寺1-22-45 SKYビル1F,080-5972-9570,6時から24時,"['駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001881&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001881
松屋 大牟田店,福岡県大牟田市船津町459-2,080-9021-6678,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001775&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001775
松屋 大分大在店（松のや併設）,大分県大分市角子南2-1-17,070-4504-5733,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002011&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002011
松屋 霧島隼人店（松のや併設）,鹿児島県霧島市隼人町見次502,090-6386-6549,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002217&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002217
